total_amount,generated_clients,attended_clients,clients_type1,clients_type2,clients_type3,clients_type4,final_time,avg_wait_seller,avg_wait_technician,avg_wait_special,avg_time_in_system,seller_utilization,technician_utilization,special_utilization,seller_idle_pct,technician_idle_pct,special_idle_pct
7050,22,22,7,8,4,3,473.76477659943583,0,0,0,21.667083115209095,11.348699225670693,22.492999117821377,9.131068473236155,88.65130077432931,77.50700088217863,90.86893152676384
7850,23,23,9,6,1,7,485.0430748183778,0,0,0,20.71337979961929,11.972972289467561,24.277078285943666,2.474432103076294,88.02702771053244,75.72292171405633,97.5255678969237
7600,24,24,10,6,2,6,487.9503925010479,0,0,0,19.905334782830312,12.61672122171394,24.36131549647188,1.209284981308056,87.38327877828605,75.63868450352811,98.79071501869194
3750,20,20,12,5,1,2,484.27345520147367,0,0,0,27.049070952247995,11.04861614693055,27.902768213187766,6.898925367608917,88.95138385306944,72.09723178681223,93.10107463239109
5350,22,22,11,6,2,3,492.3707131332674,0,0,0,17.897297207036083,11.728929423471717,16.46068678389082,9.189359666966162,88.27107057652829,83.53931321610918,90.81064033303383
5750,23,23,12,5,2,4,486.85250546263285,0,0,0,17.857422120378505,13.04082963045326,18.343681910276167,4.454109335078654,86.95917036954674,81.65631808972384,95.54589066492134
7700,22,22,7,7,3,5,561.808313353269,0,0,0,27.764530614320797,11.75443762151088,27.428294289506027,21.460340537430472,88.24556237848913,72.57170571049397,78.53965946256953
4100,22,22,15,1,3,3,475.2373458027733,0,0,0,21.27149732569644,9.64253435145697,22.413931106009937,10.967500721831597,90.35746564854303,77.58606889399006,89.0324992781684
7200,23,23,8,7,5,3,489.14796284900666,0,0,0,25.108975594399872,12.84292498686298,26.514471949095526,13.38875404192446,87.15707501313702,73.48552805090448,86.61124595807554
8300,22,22,5,8,5,4,478.6474158889807,0,0,0,15.926562860232094,12.293445988251058,11.655168505016528,13.444348951178725,87.70655401174895,88.34483149498347,86.55565104882128
8750,23,23,8,5,2,8,481.4241076859764,0,0,0,18.594095277215658,11.229373679413545,19.1571910275523,9.166386095174355,88.77062632058646,80.8428089724477,90.83361390482564
6300,21,21,10,3,3,5,478.5482120741779,0,0,0,21.49485087958754,10.771457549194778,19.46219916841397,13.801200612123043,89.22854245080522,80.53780083158603,86.19879938787696
6800,22,22,8,8,2,4,481.9636199600504,0,0,0,18.67627102166259,11.310429170989195,17.085924069078125,11.720944966740747,88.6895708290108,82.91407593092188,88.27905503325925
6550,24,24,13,3,2,6,483.9042761090249,0,0,0,23.75689546710819,12.926065470873452,29.61751256409019,4.0798087015234765,87.07393452912655,70.38248743590981,95.92019129847652
5100,21,21,11,6,0,4,473.9210982044587,0,0,0,20.53280970530191,11.030479051641061,22.59002811913791,0.0,88.96952094835893,77.40997188086209,100.0
6150,22,22,10,4,5,3,512.5492377372758,0,0,0,25.16717211575626,11.820488603340413,25.23788829609524,15.994896768916309,88.17951139665959,74.76211170390476,84.0051032310837
6600,25,25,12,6,3,4,505.61331422457613,0,0,0,20.134142191250586,13.446155172704202,24.382722580815855,4.824845824907486,86.55384482729579,75.61727741918415,95.17515417509252
8350,23,23,8,6,2,7,471.96309054481577,0,0,0,18.237876352478448,11.21116401411648,19.933179006806157,5.167959140307824,88.78883598588352,80.06682099319384,94.83204085969217
8950,22,22,5,7,4,6,490.8728632177466,0,0,0,18.530635320788623,11.620280836364389,11.211890263215242,28.055846091240028,88.37971916363561,88.78810973678476,71.94415390875997
6400,22,22,11,4,1,6,606.6940370292059,0,0,0,29.07293029566179,10.993714353188967,34.69401288566215,7.181463158418848,89.00628564681104,65.30598711433785,92.81853684158115
7050,23,23,11,3,3,6,508.1388244179698,0,0,0,19.36079492688942,12.691801314704415,17.85059576177524,13.835085776610564,87.30819868529558,82.14940423822476,86.16491422338943
